Status,Side,Time,Local,Dirty Price,Yield,Quantity,MinInc,SetDt,EBND Seller Broker Code,EBND Buyer Broker Code,Price,Bid Type,UserName,Account,Seq#,Brkr,System #,Net,Security (ASX),Security,ISIN
Open,S,11:39:09,MH32028,,5.65,10000000,,06/10/2021,,JMMB,128.619,,ELADIO PEREZ,,4,JMMB,,13029776.71,DRGB 10 3/4 08/11/28,DRGB 10 3/4 08/11/28,DO1005206516
Open,S,11:38:29,MH22026,,4.4335,10000000,,06/10/2021,,JMMB,124.8245,,ELADIO PEREZ,,2,JMMB,,12732723.97,DRGB 10 7/8 01/14/26,DRGB 10 7/8 01/14/26,DO1005205112
Open,B,11:38:29,MH22026,,3.9287,10000000,,06/10/2021,JMMB,,127.0809,,ELADIO PEREZ,,3,JMMB,,12958363.97,DRGB 10 7/8 01/14/26,DRGB 10 7/8 01/14/26,DO1005205112
Open,B,11:36:14,MH42028,,5.1947,10000000,,06/10/2021,BHDV,,115.6554,,MANUEL AGUILO,,4,BHVD,,11821978.36,DRGB 8 06/11/28,DRGB 8 06/11/28,DO1005208728
Open,S,11:35:28,MH42028,,147.8366,10000000,,30/09/2021,,BHDV,5.2,,MANUEL AGUILO,,3,BHVD,,763287.67,DRGB 8 06/11/28,DRGB 8 06/11/28,DO1005208728
Open,B,11:24:23,MH12030,,5.5235,10000000,,06/10/2021,BHDV,,131.8403,,MANUEL AGUILO,,2,BHVD,,13431324.52,DRGB 10 3/8 01/11/30,DRGB 10 3/8 01/11/30,DO1005207217
Open,S,10:48:36,MH22029,,5.4293,10000000,,01/10/2021,,BRSV,134.5,,BRANDY LAUREANO,,42,BRSV,,13880000,DRGB 10 3/4 11/08/29,DRGB 10 3/4 11/08/29,DO1005207027
Open,S,10:44:43,BSRD2032,,4.7274,2000000,,05/10/2021,,BBHD,101.25,,YUJI CHONG,,2,BBHD,,2028250,DOMREP 4 7/8 09/23/32,DOMREP 4 7/8 09/23/32,USP3579ECH82
Open,S,10:38:02,MH12029,,5.4223,10000000,,04/10/2021,,BRSV,137.25,,BRANDY LAUREANO,,41,BRSV,,14005479.45,DRGB 11 3/8 07/06/29,DRGB 11 3/8 07/06/29,DO1005204412
Open,S,10:13:10,MHUS2029,,2.5927,500000,,27/09/2021,,BRSV,130.4,,BRANDY LAUREANO,,40,BRSV,,660784.03,DRGB 6.95 06/26/29,DRGB 6.95 06/26/29,DO1005208215
Open,S,10:12:55,MHUS2040,,4.2929,500000,,27/09/2021,,BRSV,131.5,,BRANDY LAUREANO,,39,BRSV,,663406.25,DRGB 6 3/4 07/24/40,DRGB 6 3/4 07/24/40,DO1005208322
Open,S,10:11:29,MH12023,,3.7687,10000000,,05/10/2021,,BRSV,114,,BRANDY LAUREANO,,38,BRSV,,11622465.75,DRGB 14 1/2 02/10/23,DRGB 14 1/2 02/10/23,DO1005250928
Open,S,10:11:19,MH22023,,3.1687,10000000,,04/10/2021,,BRSV,110.7,,BRANDY LAUREANO,,37,BRSV,,11587808.22,DRGB 10 1/2 04/07/23,DRGB 10 1/2 04/07/23,DO1005205914
Open,S,10:10:56,BSRD2023,,4.4903,10000000,,05/10/2021,,BRSV,105.75,,BRANDY LAUREANO,,36,BRSV,,10698611.11,DOMREP 8.90 02/15/23,DOMREP 8.90 02/15/23,USP3579EBZ99
Open,S,10:10:48,MH12024,,3.7375,10000000,,06/10/2021,,BRSV,119,,BRANDY LAUREANO,,35,BRSV,,12369452.05,DRGB 11 1/2 05/10/24,DRGB 11 1/2 05/10/24,DO1005204214
